raw_price_b,price_b,qty_b,order_amt_b,exch_b,spread_b,collateral_quoted_in_b,raw_price_a,price_a,qty_a,order_amt_a,exch_a,spread_a,collateral_quoted_in_a
7.72,7.57,33.00,254.76,bybit,-0.02,USDT,7.30,7.49,183.00,1370.15,whales,0.03,USDT
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,7.38,7.57,110.00,832.39,whales,0.03,ETH
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,7.50,7.69,34.65,266.54,whales,0.03,USDC
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,7.50,7.69,1350.00,10153.85,whales,0.03,USDT
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,7.56,7.75,1115.00,8640.11,whales,0.03,ETH
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,8.00,8.21,1950.00,16000.00,whales,0.03,USDT
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,8.00,8.21,25.00,205.13,whales,0.03,USDC
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,8.32,8.49,100.00,832.00,bybit,0.02,USDT
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,8.34,8.51,10.00,83.40,bybit,0.02,USDT
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,8.34,8.51,30.00,250.20,bybit,0.02,USDT
7.71,7.56,2.00,15.42,bybit,-0.02,USDT,8.34,8.51,10.00,83.40,bybit,0.02,USDT
6.45,6.28,1536.00,9652.50,whales,-0.03,USDC,8.34,8.51,100.00,834.00,bybit,0.02,USDT
6.32,6.16,760.00,2727.95,whales,-0.03,USDT,8.34,8.51,30.00,250.20,bybit,0.02,USDT
6.25,6.09,7999.00,48009.05,whales,-0.03,USDT,8.34,8.51,30.00,250.20,bybit,0.02,USDT
5.77,5.62,100.00,562.47,whales,-0.03,ETH,8.34,8.51,50.00,417.00,bybit,0.02,USDT
5.71,5.57,1750.00,9750.00,whales,-0.03,USDT,8.34,8.51,25.00,208.50,bybit,0.02,USDT
1.00,0.98,10.00,9.75,whales,-0.03,USDT,8.34,8.51,15.00,125.10,bybit,0.02,USDT
,,,,,,,8.34,8.51,20.00,166.80,bybit,0.02,USDT
,,,,,,,8.37,8.58,30.00,193.08,whales,0.03,USDC
,,,,,,,8.53,8.75,120.00,1049.64,whales,0.03,ETH
,,,,,,,8.88,9.11,100.00,910.77,whales,0.03,USDC
,,,,,,,8.98,9.21,200.00,202.62,whales,0.03,ETH
,,,,,,,9.19,9.43,110.00,1037.03,whales,0.03,ETH
,,,,,,,9.83,10.09,110.00,1109.55,whales,0.03,ETH
,,,,,,,10.47,10.74,333.00,3575.98,whales,0.03,ETH
,,,,,,,16.60,17.03,21.00,357.60,whales,0.03,ETH
