exch_b,spread_b,raw_price_b,collateral_quoted_in_b,unfilled_order_amt_b,unfilled_qty_b,price_b,price_a,unfilled_qty_a,unfilled_order_amt_a,collateral_quoted_in_a,raw_price_a,spread_a,exch_a
bybit,-0.02,7.72,USDT,254.76,33,7.5656,7.487179487179489,183,183,USDT,7.300000000000001,0.025641025641025772,whales
bybit,-0.02,7.71,USDT,15.42,2,7.5558,7.5972547769249426,110,385048.4,ETH,7.407323407501818,0.025641025641025772,whales
bybit,-0.02,7.71,USDT,15.42,2,7.5558,7.692307692307693,34.65,34.65,USDC,7.5,0.025641025641025772,whales
bybit,-0.02,7.71,USDT,15.42,2,7.5558,7.692307692307693,1320,1320,USDT,7.5,0.025641025641025772,whales
bybit,-0.02,7.71,USDT,15.42,2,7.5558,7.7797831133332425,1115,3902990.6,ETH,7.5852885354999104,0.025641025641025772,whales
bybit,-0.02,7.71,USDT,15.42,2,7.5558,8.205128205128206,1950,1950,USDT,8,0.025641025641025772,whales
bybit,-0.02,7.71,USDT,15.42,2,7.5558,8.205128205128206,25,25,USDC,8,0.025641025641025772,whales
bybit,-0.02,7.71,USDT,15.42,2,7.5558,8.4864,100,832,USDT,8.32,0.020000000000000018,bybit
bybit,-0.02,7.71,USDT,15.42,2,7.5558,8.5068,10,83.4,USDT,8.34,0.020000000000000018,bybit
bybit,-0.02,7.71,USDT,15.42,2,7.5558,8.5068,30,250.2,USDT,8.34,0.020000000000000018,bybit
bybit,-0.02,7.71,USDT,15.42,2,7.5558,8.5068,10,83.4,USDT,8.34,0.020000000000000018,bybit
whales,-0.025,6.4453125,USDC,1536,1536,6.284179688,8.5068,100,834,USDT,8.34,0.020000000000000018,bybit
whales,-0.025,6.315789473684211,USDT,443,443,6.157894736842105,8.5068,30,250.2,USDT,8.34,0.020000000000000018,bybit
whales,-0.025,6.249531191398924,USDT,7879,7879,6.093292911613951,8.5068,30,250.2,USDT,8.34,0.020000000000000018,bybit
whales,-0.025,5.791883681,ETH,350044,100,5.647086589,8.5068,50,417,USDT,8.34,0.020000000000000018,bybit
whales,-0.025,5.714285714285714,USDT,1750,1750,5.571428571428571,8.5068,25,208.5,USDT,8.34,0.020000000000000018,bybit
whales,-0.025,1,USDT,10,10,0.975,8.5068,15,125.1,USDT,8.34,0.020000000000000018,bybit
,,,,,,,8.5068,20,166.8,USDT,8.34,0.020000000000000018,bybit
,,,,,,,8.581196581196583,22.5,22.5,USDC,8.366666666666667,0.025641025641025772,whales
,,,,,,,8.781769838,120,420052.8,ETH,8.562225592106666,0.025641025641025772,whales
,,,,,,,9.107692307692309,100,100,USDC,8.88,0.025641025641025772,whales
,,,,,,,9.246597334545642,22,77009.68000000001,ETH,9.015432401,0.025641025641025772,whales
,,,,,,,9.465059207459207,110,385048.4,ETH,9.228432727272725,0.025641025641025772,whales
,,,,,,,10.126931541337067,110,385048.4,ETH,9.873758252803638,0.025641025641025772,whales
,,,,,,,10.781365981365983,333,1165646.52,ETH,10.511831831831833,0.025641025641025772,whales
,,,,,,,17.09616605616606,21,73509.24,ETH,16.668761904761908,0.025641025641025772,whales
